hotel_name,city,description_first,price_euros_first,rating,num_reviews,quality_over_5,quality_type,description_second,price_euros_second,description,description_no_stopwords,description_stem
Suite Opium Den by Justine Apartments Apartamento turístico en Madrid Río,"Madrid, Community of Madrid","Loft
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 27m²
1 full bed",844.0,9.3,24.0,3.0,squares,"Loft
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 27m²
1 full bed",885.0,"Located in Madrid, 3 km from Atocha Train Station and 3.2 km from Reina Sofia Museum, Suite Opium Den by Justine Apartments Apartamento turístico en Madrid Río provides accommodation with amenities such as free WiFi and a flat-screen TV. The apartment, set in a building dating from 2021, is 4.2 km from El Retiro Park and 4.6 km from Plaza Mayor. The property is non-smoking and is situated 3.3 km from Puerta de Toledo.

The air-conditioned apartment consists of 1 bedroom, a living room, a fully equipped kitchen with a microwave and a coffee machine, and 1 bathroom with a walk-in shower and a hair dryer. Towels and bed linen are provided in the apartment. For added privacy, the accommodation has a private entrance and soundproofing.

Guests at the apartment will be able to enjoy activities in and around Madrid, like hiking.

Thyssen-Bornemisza Museum is 4.6 km from Suite Opium Den by Justine Apartments Apartamento turístico en Madrid Río, while Mercado San Miguel is 4.7 km away. Adolfo Suarez Madrid-Barajas Airport is 16 km from the property.",3 atocha train station 32 reina sofia museum suite opium den justine apartamento turístico río provides amenities free flatscreen set building dating 2021 42 retiro park 46 plaza mayor property nonsmoking 33 puerta toledo airconditioned consists 1 bedroom living fully equipped kitchen microwave coffee machine 1 walkin shower hair dryer towels bed linen provided added privacy entrance soundproofing guests able enjoy activities around like hiking thyssenbornemisza museum 46 suite opium den justine apartamento turístico río mercado san miguel 47 adolfo suarez madridbarajas airport 16 property,3 atocha train station 32 reina sofia museum suit opium den justin apartamento turístico río provid amen free flatscreen set build date 2021 42 retiro park 46 plaza mayor properti nonsmok 33 puerta toledo aircondit consist 1 bedroom live fulli equip kitchen microwav coffe machin 1 walkin shower hair dryer towel bed linen provid ad privaci entranc soundproof guest abl enjoy activ around like hike thyssenbornemisza museum 46 suit opium den justin apartamento turístico río mercado san miguel 47 adolfo suarez madridbaraja airport 16 properti
Suite Prado,"Madrid, Community of Madrid","One-Bedroom Apartment
Beds: 1 double or 2 twins
Only 2 rooms left at this price on our site",1322.0,8.7,1135.0,4.0,stars,"One-Bedroom Apartment
Beds: 1 double or 2 twins
Only 4 rooms left at this price on our site",1579.0,"This hotel enjoys a very central location in the city, next to the Teatro Español and Madrid’s golden triangle of art: the Prado, Thyssen and Reina Sofia museums. Puerta del Sol is just 5 minutes’ walk away.

Suite Prado has spacious and luxurious apartments, ach of which comes with a bedroom area with living room and kitchen. There you can prepare your own evening meals before heading out into the lively city.

All apartments at Suite Prado come with free WiFi. A continental breakfast is served in the room.

From Suite Prado you can easily stroll to many of the top city sights. The 24-hour reception allows you more flexibility during your stay.",enjoys central location city next teatro español madrids golden triangle art prado thyssen reina sofia museums puerta sol 5 suite prado spacious luxurious ach comes bedroom area living kitchen prepare evening meals heading lively city suite prado come free continental breakfast served suite prado easily stroll many top city sights 24hour reception allows flexibility stay,enjoy central locat citi next teatro español madrid golden triangl art prado thyssen reina sofia museum puerta sol 5 suit prado spaciou luxuri ach come bedroom area live kitchen prepar even meal head live citi suit prado come free continent breakfast serv suit prado easili stroll mani top citi sight 24hour recept allow flexibl stay
Suite Shibari by Justine Apartments Sobria Elegante y Pecaminosa Apartamento turístico en Madrid Río,"Madrid, Community of Madrid","Loft
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 30m²
1 full bed",844.0,9.2,23.0,3.0,squares,"Loft
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 30m²
1 full bed",885.0,"Suite Shibari by Justine Apartments Sobria Elegante y Pecaminosa Apartamento turístico en Madrid Río is located in the Usera district of Madrid, 3.2 km from Reina Sofia Museum, 3.3 km from Puerta de Toledo and 4.2 km from El Retiro Park. The property is situated 4.6 km from Plaza Mayor, 4.6 km from Thyssen-Bornemisza Museum and 4.7 km from Mercado San Miguel. Free WiFi is available throughout the property and Atocha Train Station is 3 km away.

The air-conditioned apartment consists of 1 bedroom, a living room, a fully equipped kitchen with a microwave and a coffee machine, and 1 bathroom with a walk-in shower and a hair dryer. Towels and bed linen are provided in the apartment. This apartment is allergy-free and non-smoking.

Gran Via Metro Station is 4.8 km from the apartment, while Puerta del Sol is 5.3 km away. Adolfo Suarez Madrid-Barajas Airport is 16 km from the property.",suite shibari justine sobria elegante pecaminosa apartamento turístico río usera district 32 reina sofia museum 33 puerta toledo 42 retiro park property 46 plaza mayor 46 thyssenbornemisza museum 47 mercado san miguel free throughout property atocha train station 3 airconditioned consists 1 bedroom living fully equipped kitchen microwave coffee machine 1 walkin shower hair dryer towels bed linen provided allergyfree nonsmoking gran via metro station 48 puerta sol 53 adolfo suarez madridbarajas airport 16 property,suit shibari justin sobria elegant pecaminosa apartamento turístico río usera district 32 reina sofia museum 33 puerta toledo 42 retiro park properti 46 plaza mayor 46 thyssenbornemisza museum 47 mercado san miguel free throughout properti atocha train station 3 aircondit consist 1 bedroom live fulli equip kitchen microwav coffe machin 1 walkin shower hair dryer towel bed linen provid allergyfre nonsmok gran via metro station 48 puerta sol 53 adolfo suarez madridbaraja airport 16 properti
Suites Avenue,Barcelona,"Deluxe Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 54m²
2 beds (1 full, 1 sofa bed)
Only 2 left at this price on our site",1536.0,8.9,1288.0,4.0,squares,"Deluxe Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 54m²
2 beds (1 full, 1 sofa bed)
Only 4 left at this price on our site",5226.0,"Set in a striking, contemporary building on Passeig de Gràcia and facing Gaudí’s La Pedrera, Suites Avenue offers stylish accommodation. It features an outdoor swimming pool, a gym and sauna.

Each of the Avenue’s apartments has simple, chic décor with parquet floors and leather sofas. All apartments have a large kitchen with an oven, fridge and dishwasher. Free Wi-Fi is available.

The property has a concierge service, which guests can use to arrange excursions, beauty treatments and babysitting.

The apartments are a 5-minute walk from a selection of upmarket shops and close to a range of cafés and restaurants.

Casa Batlló is 5 minutes’ walk from the apartments, while Plaza de Catalunya and Las Ramblas are just over 1 km away. Diagonal Metro Station is a 2-minute walk from the Suites.",set striking contemporary building passeig gràcia facing gaudís pedrera suites avenue offers features outdoor swimming pool gym sauna avenues simple chic décor parquet floors leather sofas large kitchen oven fridge dishwasher free property concierge guests use arrange excursions beauty treatments babysitting 5minute selection upmarket shops close range cafés restaurants casa batlló 5 plaza catalunya ramblas 1 diagonal metro station 2minute suites,set strike contemporari build passeig gràcia face gaudí pedrera suit avenu offer featur outdoor swim pool gym sauna avenu simpl chic décor parquet floor leather sofa larg kitchen oven fridg dishwash free properti concierg guest use arrang excurs beauti treatment babysit 5minut select upmarket shop close rang café restaur casa batlló 5 plaza catalunya rambla 1 diagon metro station 2minut suit
Suites Barrio de Salamanca,"Madrid, Community of Madrid","Standard Double Room
Beds: 1 double or 2 twins",1080.0,8.3,1207.0,4.0,stars,"Standard Double Room
Beds: 1 double or 2 twins
Only 4 left at this price on our site",1328.0,"Suites Barrio de Salamanca is located in one of Madrid’s main commercial districts, 5 minutes’ walk from the Lazaro Galdiano Museum. It offers free Wi-Fi and air-conditioned rooms, most with a private balcony.

All rooms at the Barrio de Salamanca Suites have a seating area with satellite TV. The private bathrooms come with a hairdryer.

The hotel has a café-bar where you can get a snack or a drink. Staff at the 24-hour reception can help you to plan your stay in Madrid, and there is also a car rental service.

Plaza de Colón Square is just a 10-minute walk from the hotel. Gregorio Marañon and Nuñez de Balboa Metro Stations are both around 600 metres away, and offer direct access to the city centre.",suites barrio salamanca one madrids main commercial districts 5 lazaro galdiano museum offers free airconditioned rooms rooms barrio salamanca suites seating area satellite bathrooms come hairdryer cafébar get snack drink staff 24hour reception help plan stay also car rental plaza colón square 10minute gregorio marañon nuñez balboa metro stations around 600 direct city centre,suit barrio salamanca one madrid main commerci district 5 lazaro galdiano museum offer free aircondit room room barrio salamanca suit seat area satellit bathroom come hairdryer cafébar get snack drink staff 24hour recept help plan stay also car rental plaza colón squar 10minut gregorio marañon nuñez balboa metro station around 600 direct citi centr
Suites Center Barcelona,Barcelona,"Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 58m²
3 beds (1 twin, 1 full, 1 sofa bed)
Free cancellation
Only 1 left at this price on our site",2330.0,9.1,572.0,4.0,squares,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 43m²
2 beds (1 full, 1 sofa bed)
Free cancellation
Only 1 left at this price on our site",3802.0,"These stylish apartments are on Barcelona’s famous Passeig de Gràcia, in the heart of the Eixample. Each comes with free Wi-Fi, plasma-screen satellite TVs and a modern kitchen.

Suites Center Barcelona offers apartments with DVD and CD player, washing machine and a kettle. They feature full heating and air conditioning, soundproofing and a bathroom with shower.

Private parking is available at Suites Center Barcelona. There is also 24-hour reception.

The Suites are only 20 metres from the Modernist Casa Fuster, a short walk from the popular Gràcia neighbourhood. Diagonal Metro Station is 200 metres away and offers direct access to Plaça Catalunya and the Rambla.",barcelonas famous passeig gràcia heart eixample comes free plasmascreen satellite tvs kitchen suites center offers dvd cd player washing machine kettle full heating air conditioning soundproofing shower parking suites center also 24hour reception suites 20 modernist casa fuster short gràcia neighbourhood diagonal metro station 200 offers direct plaça catalunya rambla,barcelona famou passeig gràcia heart eixampl come free plasmascreen satellit tv kitchen suit center offer dvd cd player wash machin kettl full heat air condit soundproof shower park suit center also 24hour recept suit 20 modernist casa fuster short gràcia neighbourhood diagon metro station 200 offer direct plaça catalunya rambla
Suitur Apartment Hita II Centro Madrid,"Madrid, Community of Madrid","Studio with Sofa Bed
Entire studio • 1 kitchen • 35m²",811.0,6.5,23.0,,,"Studio with Sofa Bed
Entire studio • 1 kitchen • 35m²
Free cancellation",860.0,"Right in the centre of Madrid, situated within a short distance of Gran Via and Gran Via Metro Station, Suitur Apartment Hita II Centro Madrid offers free WiFi, air conditioning and household amenities such as a microwave and coffee machine. Boasting a lift, this property also provides guests with a water park. The property is non-smoking and is located 1.3 km from Thyssen-Bornemisza Museum.

The apartment has a TV.

If you would rather not eat out, you can make use of the kitchen facilities, which include a fridge and kitchenware.

A bowling alley is also available for guests at the apartment.

Popular points of interest near Suitur Apartment Hita II Centro Madrid include Plaza de España Metro Station, Temple of Debod and Royal Palace of Madrid. The nearest airport is Adolfo Suarez Madrid-Barajas Airport, 13 km from the accommodation.",right centre within short gran via gran via metro station suitur hita ii centro offers free air conditioning household amenities microwave coffee machine boasting lift property also provides guests water park property nonsmoking 13 thyssenbornemisza museum would rather eat make use kitchen facilities fridge kitchenware bowling alley also guests points interest near suitur hita ii centro plaza españa metro station temple debod royal palace nearest airport adolfo suarez madridbarajas airport 13,right centr within short gran via gran via metro station suitur hita ii centro offer free air condit household amen microwav coffe machin boast lift properti also provid guest water park properti nonsmok 13 thyssenbornemisza museum would rather eat make use kitchen facil fridg kitchenwar bowl alley also guest point interest near suitur hita ii centro plaza españa metro station templ debod royal palac nearest airport adolfo suarez madridbaraja airport 13
Sunny studio with AC in Hortaleza,"Madrid, Community of Madrid","Loft
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 35m²
2 beds (1 full, 1 sofa bed)",927.0,,,,,"Loft
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 35m²
2 beds (1 full, 1 sofa bed)
Free cancellation",1073.0,"Set in Madrid, 4.5 km from Chamartin Railway Station and 4.6 km from IFEMA, Sunny studio with AC in Hortaleza offers air conditioning. The property is around 9 km from Thyssen-Bornemisza Museum, 9.1 km from El Retiro Park and 9.3 km from Temple of Debod. The property is non-smoking and is located 4.8 km from Santiago Bernabéu Stadium.

This apartment includes 1 bedroom, a living room and a flat-screen TV, an equipped kitchen with a dining area, and 1 bathroom with a shower and a washing machine.

Gran Via Metro Station is 9.3 km from the apartment, while Plaza de España Metro Station is 9.3 km from the property. Adolfo Suarez Madrid-Barajas Airport is 9 km away.",set 45 chamartin railway station 46 ifema sunny studio ac hortaleza offers air conditioning property around 9 thyssenbornemisza museum 91 retiro park 93 temple debod property nonsmoking 48 santiago bernabéu stadium includes 1 bedroom living flatscreen equipped kitchen dining area 1 shower washing machine gran via metro station 93 plaza españa metro station 93 property adolfo suarez madridbarajas airport 9,set 45 chamartin railway station 46 ifema sunni studio ac hortaleza offer air condit properti around 9 thyssenbornemisza museum 91 retiro park 93 templ debod properti nonsmok 48 santiago bernabéu stadium includ 1 bedroom live flatscreen equip kitchen dine area 1 shower wash machin gran via metro station 93 plaza españa metro station 93 properti adolfo suarez madridbaraja airport 9
Sunotel Aston,Barcelona,"Economy Double Room
1 full bed
Free cancellation",862.0,7.5,990.0,3.0,stars,"Economy Double Room
1 full bed",2503.0,"Featuring a rooftop terrace with a seasonal swimming pool and hot tub, as well as panoramic views of Barcelona, Sunotel Aston is a 3-minute walk from Hospital Clinic Metro Station.

Air-conditioned rooms include a flat-screen TV, soundproofed windows and a private bathroom with a hairdryer. Free, high-speed WiFi is available.

An extensive buffet breakfast is served at the hotel. The hotel’s Pa'l Caldero Restaurant offers a wide selection of dishes from around the world. There are also many eating options in the area.

Sunotel Aston has a 24-hour reception and offers services such as luggage storage, free pool towels and free bikes.

Plaza Catalunya and the Ramblas can be reached in around 15 minutes by public transport; while Barcelona’s famous Sagrada Familia Cathedral is around 10 minutes away.",featuring rooftop terrace seasonal swimming pool hot tub well panoramic views sunotel aston 3minute hospital clinic metro station airconditioned rooms flatscreen soundproofed windows hairdryer free highspeed extensive buffet breakfast served hotels pal caldero restaurant offers wide selection dishes around world also many eating options area sunotel aston 24hour reception offers services luggage storage free pool towels free bikes plaza catalunya ramblas reached around 15 public transport barcelonas famous sagrada familia cathedral around 10,featur rooftop terrac season swim pool hot tub well panoram view sunotel aston 3minut hospit clinic metro station aircondit room flatscreen soundproof window hairdryer free highspe extens buffet breakfast serv hotel pal caldero restaur offer wide select dish around world also mani eat option area sunotel aston 24hour recept offer servic luggag storag free pool towel free bike plaza catalunya rambla reach around 15 public transport barcelona famou sagrada familia cathedr around 10
Sunotel Central,Barcelona,"Standard Double or Twin Room
Beds: 1 double or 2 twins",1171.0,8.0,1360.0,4.0,stars,"Standard Double or Twin Room
Beds: 1 double or 2 twins
Only 3 rooms left at this price on our site",4786.0,"Featuring a rooftop swimming pool and hot tub with views of Barcelona, Sunotel Central is set in the centre of Barcelona, just 10 minutes' walk from Plaza Catalunya.

Modern rooms at Sunotel Central include free high-speed WiFi, satellite TV and a private bathroom with a hairdryer and amenities.

Universitat Metro Station is just 200 metres from the hotel. The Ramblas, famous for its street performers, can be reached in 10 minutes by foot.

In the morning guests can enjoy a varied, fresh and healthy full buffet breakfast.

The hotel’s 24-hour reception offers a ticket booking service and luggage storage. There are computers in the lobby which guests can use for free. Meeting rooms are also available.",featuring rooftop swimming pool hot tub views sunotel central set centre 10 plaza catalunya rooms sunotel central free highspeed satellite hairdryer amenities universitat metro station 200 ramblas famous street performers reached 10 foot morning guests enjoy varied fresh healthy full buffet breakfast hotels 24hour reception offers ticket booking luggage storage computers lobby guests use free meeting rooms also,featur rooftop swim pool hot tub view sunotel central set centr 10 plaza catalunya room sunotel central free highspe satellit hairdryer amen universitat metro station 200 rambla famou street perform reach 10 foot morn guest enjoy vari fresh healthi full buffet breakfast hotel 24hour recept offer ticket book luggag storag comput lobbi guest use free meet room also
Sunotel Club Central,Barcelona,"Standard Double or Twin Room
Beds: 1 double or 2 twins",1095.0,8.0,1819.0,4.0,stars,"Standard Double or Twin Room
Beds: 1 double or 2 twins
Only 2 rooms left at this price on our site",3892.0,"Featuring an outdoor swimming pool and hot tub on its terrace, Sunotel Club Central is set in Barcelona’s elegant Eixample neighbourhood.

Each modern air-conditioned room has free, high-speed WiFi, a TV and a minibar. The private bathroom includes a bath, shower and hairdryer.

Sunotel Club Central features a cosy bar, serving snacks and drinks. There is also room service available. The hotel has a 24-hour reception, and free bicycles are available upon request and subject to availability.

Passeig de Gracia, with its Gaudi monuments and designer shops, is a 10-minute walk from Sunotel Club Central. The famous Las Ramblas Boulevard and Plaza Catalunya are a 15-minute walk from the hotel. Barcelona Airport is 15 km away, and you can catch an airport bus in Plaza Catalunya.",featuring outdoor swimming pool hot tub terrace sunotel club central set barcelonas elegant eixample neighbourhood airconditioned free highspeed minibar includes bath shower hairdryer sunotel club central features cosy bar serving snacks drinks also 24hour reception free bicycles upon request subject availability passeig gracia gaudi monuments designer shops 10minute sunotel club central famous ramblas boulevard plaza catalunya 15minute airport 15 catch airport bus plaza catalunya,featur outdoor swim pool hot tub terrac sunotel club central set barcelona eleg eixampl neighbourhood aircondit free highspe minibar includ bath shower hairdryer sunotel club central featur cosi bar serv snack drink also 24hour recept free bicycl upon request subject avail passeig gracia gaudi monument design shop 10minut sunotel club central famou rambla boulevard plaza catalunya 15minut airport 15 catch airport bu plaza catalunya
Sunotel Junior,Barcelona,"Double Room
Beds: 1 double or 2 twins
Free cancellation",846.0,7.2,756.0,2.0,stars,"Double Room
Beds: 1 double or 2 twins",2506.0,"Offering panoramic views from its rooftop terrace, which has a seasonal hot tub and swimming pool, Sunotel Junior is set 300 metres from Francesc Macià Square. It offers free, high-speed WiFi.

All rooms at Sunotel Junior have air conditioning, a flat-screen TV, soundproofed windows and a fully equipped bathroom.

Guests can enjoy a varied buffet breakfast each morning. The hotel’s restaurant, Pa'l Caldero, offers a selection of dishes from around the world. There is also a range of cafés and restaurants nearby.

You will find a 24-hour reception that offers a luggage storage service and free pool towels. There are also several meeting rooms available.

The Sunotel is a 5-minute walk from Hospital Clinic Metro Station, and Sants Railway Station is just 2 metro stops away.

FC Barcelona’s famous Camp Nou Stadium can be reached in 15 minutes by public transport, and Plaza de Catalunya and Las Ramblas are also around 15 minutes away.",offering panoramic views rooftop terrace seasonal hot tub swimming pool sunotel junior set 300 francesc macià square offers free highspeed rooms sunotel junior air conditioning flatscreen soundproofed windows fully equipped guests enjoy varied buffet breakfast morning hotels restaurant pal caldero offers selection dishes around world also range cafés restaurants nearby find 24hour reception offers luggage storage free pool towels also several meeting rooms sunotel 5minute hospital clinic metro station sants railway station 2 metro stops fc barcelonas famous camp nou stadium reached 15 public transport plaza catalunya ramblas also around 15,offer panoram view rooftop terrac season hot tub swim pool sunotel junior set 300 francesc macià squar offer free highspe room sunotel junior air condit flatscreen soundproof window fulli equip guest enjoy vari buffet breakfast morn hotel restaur pal caldero offer select dish around world also rang café restaur nearbi find 24hour recept offer luggag storag free pool towel also sever meet room sunotel 5minut hospit clinic metro station sant railway station 2 metro stop fc barcelona famou camp nou stadium reach 15 public transport plaza catalunya rambla also around 15
Swan,Barcelona,"Mobile Home
Mobile home • 1 bedroom • 1 living room • 1 bathroom
4 beds (1 full, 3 sofa beds)
Only 1 left at this price on our site",1740.0,3.8,60.0,,,"Mobile Home
Mobile home • 1 bedroom • 1 living room • 1 bathroom
4 beds (1 full, 3 sofa beds)
Only 1 left at this price on our site",1740.0,"In the Sant Martí district of Barcelona, close to Nova Icaria Beach, Swan features a bar and a washing machine. The property has city views and is less than 1 km from Platja del Coco and a 12-minute walk from Somorrostro Beach. The property is non-smoking and is located 700 metres from Platja de la Mora.

Featuring sea and mountain views, this boat provides 1 bedroom and opens to a terrace. Towels and bed linen are provided in the boat.

Popular points of interest near the boat include Platja del Pont de Petroli, Barceloneta Beach and Mar Bella Beach. The nearest airport is Barcelona El Prat Airport, 14 km from Swan.",sant martí district close nova icaria beach swan features bar washing machine property city views less 1 platja coco 12minute somorrostro beach property nonsmoking 700 platja mora featuring mountain views boat provides 1 bedroom opens terrace towels bed linen provided boat points interest near boat platja pont petroli barceloneta beach mar bella beach nearest airport prat airport 14 swan,sant martí district close nova icaria beach swan featur bar wash machin properti citi view less 1 platja coco 12minut somorrostro beach properti nonsmok 700 platja mora featur mountain view boat provid 1 bedroom open terrac towel bed linen provid boat point interest near boat platja pont petroli barceloneta beach mar bella beach nearest airport prat airport 14 swan
Sweett - Aragon Park Miro,Barcelona,"Three-Bedroom Apartment
Entire apartment • 3 bedrooms • 1 bathroom • 1 kitchen • 75m²
4 beds (3 twins, 1 full)
Only 1 left at this price on our site",1275.0,8.2,296.0,4.0,squares,"Apartment
Entire apartment • 2 bedrooms • 1 bathroom • 1 kitchen • 75m²
3 beds (2 twins, 1 full)
Only 1 left at this price on our site",3542.0,"Located within less than 1 km of Sants Railway Station and 2.5 km of Passeig de Gracia Metro Station, Sweett - Aragon Park Miro provides rooms with air conditioning and a private bathroom in Barcelona. There is a private entrance at the apartment for the convenience of those who stay. Free WiFi is available throughout the property and Magic Fountain of Montjuic is 1.2 km away.

Each unit is equipped with a balcony, a fully equipped kitchen with an oven, a seating area, a flat-screen TV, a washing machine, and a private bathroom with shower and a hair dryer. A microwave, a toaster and fridge are also provided, as well as a coffee machine and a kettle. At the apartment complex, all units come with bed linen and towels.

Casa Batllo is 2.6 km from the apartment, while Passeig de Gracia is 2.8 km away. Barcelona El Prat Airport is 11 km from the property.",within less 1 sants railway station 25 passeig gracia metro station sweett aragon park miro provides rooms air conditioning entrance convenience stay free throughout property magic fountain montjuic 12 equipped fully equipped kitchen oven seating area flatscreen washing machine shower hair dryer microwave toaster fridge also provided well coffee machine kettle complex come bed linen towels casa batllo 26 passeig gracia 28 prat airport 11 property,within less 1 sant railway station 25 passeig gracia metro station sweett aragon park miro provid room air condit entranc conveni stay free throughout properti magic fountain montjuic 12 equip fulli equip kitchen oven seat area flatscreen wash machin shower hair dryer microwav toaster fridg also provid well coffe machin kettl complex come bed linen towel casa batllo 26 passeig gracia 28 prat airport 11 properti
Sweett - Avenida Roma,Barcelona,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 55m²
2 beds (1 full, 1 sofa bed)
Only 1 left at this price on our site",1201.0,8.1,300.0,4.0,squares,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 55m²
2 beds (1 full, 1 sofa bed)
Free cancellation
Only 1 left at this price on our site",2812.0,"Situated within 1.5 km of Plaça Catalunya and 1.5 km of Passeig de Gracia Metro Station, Sweett - Avenida Roma features rooms with air conditioning and a private bathroom in Barcelona. There is a private entrance at the apartment for the convenience of those who stay. Free WiFi is available throughout the property and Casa Batllo is 1.2 km away.

Each unit features a fully equipped kitchen with a dishwasher, a seating area, a TV, a washing machine, and a private bathroom with bidet and free toiletries. An oven, a microwave and toaster are also available, as well as a coffee machine and a kettle. At the apartment complex, each unit has bed linen and towels.

Popular points of interest near the apartment include Sants Railway Station, Tivoli Theatre and La Pedrera. Barcelona El Prat Airport is 12 km from the property.",within 15 plaça catalunya 15 passeig gracia metro station sweett avenida roma features rooms air conditioning entrance convenience stay free throughout property casa batllo 12 features fully equipped kitchen dishwasher seating area washing machine bidet free toiletries oven microwave toaster also well coffee machine kettle complex bed linen towels points interest near sants railway station tivoli theatre pedrera prat airport 12 property,within 15 plaça catalunya 15 passeig gracia metro station sweett avenida roma featur room air condit entranc conveni stay free throughout properti casa batllo 12 featur fulli equip kitchen dishwash seat area wash machin bidet free toiletri oven microwav toaster also well coffe machin kettl complex bed linen towel point interest near sant railway station tivoli theatr pedrera prat airport 12 properti
Sweett - Carrer Bailen,Barcelona,"Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 65m²
3 beds (2 twins, 1 full)
Only 1 left at this price on our site",1449.0,8.3,698.0,3.0,squares,"Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 68m²
3 beds (2 twins, 1 full)
Only 1 left at this price on our site",3266.0,"Sweett - Carrer Bailen provides accommodation within 1.1 km of the centre of Barcelona, with free WiFi, and a kitchen with a dishwasher, an oven and a microwave. With city views, this accommodation offers a balcony. Guests can access the apartment via private entrance.

At the apartment complex, all units are equipped with a wardrobe, a flat-screen TV, a private bathroom, bed linen and towels. A toaster, a fridge and stovetop are also provided, as well as a coffee machine and a kettle. At the apartment complex, the units are equipped with a seating area.

Popular points of interest near the apartment include Passeig de Gracia, Passeig de Gracia Metro Station and Casa Batllo. Barcelona El Prat Airport is 14 km away.",sweett carrer bailen provides within 11 centre free kitchen dishwasher oven microwave city views offers guests via entrance complex equipped wardrobe flatscreen bed linen towels toaster fridge stovetop also provided well coffee machine kettle complex equipped seating area points interest near passeig gracia passeig gracia metro station casa batllo prat airport 14,sweett carrer bailen provid within 11 centr free kitchen dishwash oven microwav citi view offer guest via entranc complex equip wardrob flatscreen bed linen towel toaster fridg stovetop also provid well coffe machin kettl complex equip seat area point interest near passeig gracia passeig gracia metro station casa batllo prat airport 14
Sweett - Carrer Fira,Barcelona,"Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 80m²
3 beds (1 twin, 1 full, 1 sofa bed)
Only 1 left at this price on our site",1190.0,8.5,546.0,4.0,squares,"Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 80m²
4 beds (2 twins, 1 full, 1 sofa bed)
Only 1 left at this price on our site",2983.0,"Located within less than 1 km of Sants Railway Station and a 15-minute walk of Magic Fountain of Montjuic, Sweett - Carrer Fira provides rooms with air conditioning and a private bathroom in Barcelona. There is a private entrance at the apartment for the convenience of those who stay. The apartment features family rooms.

All units comprise a seating area with a sofa, a dining area, and a fully equipped kitchen with various cooking facilities, including a dishwasher, an oven, a microwave and a toaster. With a private bathroom equipped with a hair dryer, units at the apartment complex also provide guests with free WiFi, while selected rooms include a balcony. At the apartment complex, all units are fitted with bed linen and towels.

Casa Batllo is 2.2 km from the apartment, while Plaça Catalunya is 2.6 km away. Barcelona El Prat Airport is 11 km from the property.",within less 1 sants railway station 15minute magic fountain montjuic sweett carrer fira provides rooms air conditioning entrance convenience stay features family rooms comprise seating area sofa dining area fully equipped kitchen various cooking facilities including dishwasher oven microwave toaster equipped hair dryer complex also provide guests free selected rooms complex fitted bed linen towels casa batllo 22 plaça catalunya 26 prat airport 11 property,within less 1 sant railway station 15minut magic fountain montjuic sweett carrer fira provid room air condit entranc conveni stay featur famili room compris seat area sofa dine area fulli equip kitchen variou cook facil includ dishwash oven microwav toaster equip hair dryer complex also provid guest free select room complex fit bed linen towel casa batllo 22 plaça catalunya 26 prat airport 11 properti
